"","trees","specie","region","treatment","n_tree","i_L","i_U","t50_L","t50_U","delta_i","delta_t50"
"1","BC013","B","C","0","13",0.754679953196621,0.817928402662235,37.2722819786609,37.4815724344117,0.0632484494656148,0.209290455750747
"2","BC014","B","C","0","14",1.01323862982298,1.07602009533538,36.021098188649,36.1630523991948,0.0627814655123988,0.141954210545812
"3","BC015","B","C","0","15",0.370951194986699,0.654833456677175,30.1359766979525,35.4028505692423,0.283882261690476,5.26687387128986
"4","BC02","B","C","0","2",0.6770870626488,1.39266125894227,43.7324191140674,43.0069262894854,0.715574196293465,-0.725492824582005
"5","BC04","B","C","0","4",0.803890493702859,0.850009462276285,37.3857981757874,36.7322273078851,0.0461189685734262,-0.653570867902324
"6","BC07","B","C","0","7",0.179657739556262,0.303186103285319,33.8317920025361,38.8691901954256,0.123528363729056,5.0373981928895
"7","BC110","B","C","1","10",0.0873170549183634,0.085264227794215,31.6767811700153,31.8310059107386,-0.00205282712414839,0.154224740723251
"8","BC112","B","C","1","12",0.447668486197295,0.449827478641714,52.1650995389547,52.2425952949056,0.00215899244441858,0.077495755950892
"9","BC114","B","C","1","14",0.500719123021092,0.401639014612839,20.4383364291831,20.1261171762705,-0.0990801084082537,-0.312219252912666
"10","BC13","B","C","1","3",0.331732287820368,0.372057828861877,46.5779679687789,46.2688691855541,0.0403255410415083,-0.309098783224833
"11","BC14","B","C","1","4",0.112128090722159,0.457022203044069,28.3144595431909,27.161322311042,0.344894112321909,-1.15313723214896
"12","BC16","B","C","1","6",0.597054100389146,0.546200419988115,41.0656266210593,43.8272569479884,-0.0508536804010311,2.76163032692906
"13","BC210","B","C","2","10",0.622338486886308,0.116090539032651,44.3500804338959,35.598370228664,-0.506247947853657,-8.75171020523192
"14","BC215","B","C","2","15",0.873599518434433,1.22936318323963,36.7614467969709,36.3822609444171,0.355763664805193,-0.379185852553789
"15","BC27","B","C","2","7",0.608341450346179,0.820316848968863,31.441890329422,31.4625536533672,0.211975398622684,0.0206633239452145
"16","BC28","B","C","2","8",0.871406116772576,0.731760131527709,36.9161721003401,37.2484817287278,-0.139645985244867,0.332309628387705
"17","BC310","B","C","3","10",0.346766759524849,0.350439325487786,30.8065034478222,25.8876739503092,0.00367256596293702,-4.91882949751299
"18","BC35","B","C","3","5",0.366989647225502,0.326022488555935,33.7997161281806,33.881434160012,-0.0409671586695665,0.0817180318314215
"19","BC36","B","C","3","6",0.343991050493431,0.547302755497366,31.5654174583431,31.982138653637,0.203311705003935,0.416721195293849
"20","BC37","B","C","3","7",0.637149887042854,0.952837420227881,36.3253626732598,36.9377056487201,0.315687533185027,0.612342975460351
"21","BP01","B","P","0","1",1.70965756681952,0.779574640630709,29.7515760516453,30.400812766933,-0.930082926188806,0.649236715287717
"22","BP010","B","P","0","10",0.833332576526803,1.88602846868137,36.3164812878333,36.1037967390798,1.05269589215456,-0.212684548753558
"23","BP011","B","P","0","11",0.710639540688994,0.42241007047173,37.3297138023448,38.0681137169675,-0.288229470217264,0.738399914622633
"24","BP013","B","P","0","13",0.67101113730935,0.535240067856529,37.7717522110876,36.3335435448827,-0.13577106945282,-1.43820866620497
"25","BP014","B","P","0","14",0.67156128532066,0.463514121548805,33.7755534633957,34.9848450738688,-0.208047163771855,1.20929161047305
"26","BP015","B","P","0","15",1.01674648046649,1.08638569222914,32.1146124283697,31.4547178624358,0.0696392117626541,-0.659894565933904
"27","BP06","B","P","0","6",0.397588516844819,0.63137415176593,35.8460928949378,37.6928782841083,0.233785634921111,1.84678538917048
"28","BP07","B","P","0","7",0.105403346875881,0.106804599186262,16.2942401223131,28.3779489532625,0.00140125231038157,12.0837088309494
"29","BP11","B","P","1","1",0.134068447123916,0.130800756447228,43.8470306239889,42.1900011030302,-0.00326769067668803,-1.65702952095864
"30","BP110","B","P","1","10",0.468821066919166,0.154563736475082,26.4754996568614,30.097404010895,-0.314257330444084,3.62190435403359
"31","BP111","B","P","1","11",0.546147696594484,0.329378838841826,41.0487884896954,43.2558601206444,-0.216768857752659,2.20707163094899
"32","BP112","B","P","1","12",0.240957373799815,0.115616837682836,22.6978488013606,30.9598303359845,-0.12534053611698,8.26198153462389
"33","BP113","B","P","1","13",0.144330559119767,0.6443757125472,37.8632228774898,43.1824549776042,0.500045153427433,5.31923210011436
"34","BP114","B","P","1","14",0.705149283430168,0.465355597871959,38.5998853266896,41.1096773646265,-0.23979368555821,2.5097920379369
"35","BP115","B","P","1","15",0.174719983524665,0.128804606229904,38.3603079707853,35.0666344107433,-0.0459153772947607,-3.29367356004199
"36","BP13","B","P","1","3",0.272107024857839,0.178754702527648,22.6735276890094,24.5971519840686,-0.0933523223301914,1.92362429505919
